task,submission,model,origin_source_bytes,orig_tc_shown_bytes,orig_tc_shown_fraction,orig_tc_shown_form,origin_truncated,reduced_source_bytes,reduced_tc_shown_bytes,reduced_tc_shown_fraction,reduced_tc_shown_form,reduced_truncated,no_tc_correct,orig_tc_correct,reduced_tc_correct,delta_reduced_origin,delta_reduced_no_test,orig_tc_prompt_contains_input,orig_tc_prompt_contains_expected,orig_tc_prompt_contains_actual,reduced_tc_prompt_contains_input,reduced_tc_prompt_contains_expected,reduced_tc_prompt_contains_actual
abc361c,67213592,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc361c,67186860,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc361c,67182020,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,1,2,2,0.0,0.1,True,True,True,True,True,True
abc361c,67107765,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,2,0,0,0.0,-0.2,True,True,True,True,True,True
abc361c,67095560,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,1,0,1,0.1,0.0,True,True,True,True,True,True
abc361c,67095547,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc361c,67030359,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,1,1,0.0,0.1,True,True,True,True,True,True
abc361c,67026479,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,23,23,1.0,full,False,1,0,6,0.6,0.5,True,True,True,True,True,True
abc361c,66894391,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc361c,66704499,Qwen2.5-Coder-7B-Instruct,6904,6904,1.0,full,False,6903,6903,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc362d,67088863,Qwen2.5-Coder-7B-Instruct,678706,20480,0.03017506843905903,prefix_20480,True,24,24,1.0,full,False,3,4,6,0.2,0.3,True,True,True,True,True,True
abc362d,67055151,Qwen2.5-Coder-7B-Instruct,3038015,20480,0.006741243871409457,prefix_20480,True,76,76,1.0,full,False,0,0,1,0.1,0.1,True,True,True,True,True,True
abc362d,66901805,Qwen2.5-Coder-7B-Instruct,3038015,20480,0.006741243871409457,prefix_20480,True,22,22,1.0,full,False,2,0,4,0.4,0.2,True,True,True,True,True,True
abc362d,66901765,Qwen2.5-Coder-7B-Instruct,3038015,20480,0.006741243871409457,prefix_20480,True,23,23,1.0,full,False,8,3,4,0.1,-0.4,True,True,True,True,True,True
abc362d,66824420,Qwen2.5-Coder-7B-Instruct,26198,20480,0.7817390640506909,prefix_20480,True,24,24,1.0,full,False,10,4,9,0.5,-0.1,True,True,True,True,True,True
abc362d,66485839,Qwen2.5-Coder-7B-Instruct,678706,20480,0.03017506843905903,prefix_20480,True,24,24,1.0,full,False,0,1,2,0.1,0.2,True,True,True,True,True,True
abc362d,66485778,Qwen2.5-Coder-7B-Instruct,678706,20480,0.03017506843905903,prefix_20480,True,24,24,1.0,full,False,1,0,3,0.3,0.2,True,True,True,True,True,True
abc362d,66485717,Qwen2.5-Coder-7B-Instruct,26198,20480,0.7817390640506909,prefix_20480,True,24,24,1.0,full,False,1,3,0,-0.3,-0.1,True,True,True,True,True,True
abc362d,66246685,Qwen2.5-Coder-7B-Instruct,3038015,20480,0.006741243871409457,prefix_20480,True,75,75,1.0,full,False,1,0,0,0.0,-0.1,True,True,True,True,True,True
abc362d,65947516,Qwen2.5-Coder-7B-Instruct,678706,20480,0.03017506843905903,prefix_20480,True,24,24,1.0,full,False,4,0,2,0.2,-0.2,True,True,True,True,True,True
abc363e,67112937,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,67112907,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,67012798,Qwen2.5-Coder-7B-Instruct,6446038,20480,0.003177145403114285,prefix_20480,True,18,18,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,66903504,Qwen2.5-Coder-7B-Instruct,5853455,20480,0.0034987883224522954,prefix_20480,True,16,16,1.0,full,False,0,1,2,0.1,0.2,True,True,True,True,False,False
abc363e,66903440,Qwen2.5-Coder-7B-Instruct,5853455,20480,0.0034987883224522954,prefix_20480,True,16,16,1.0,full,False,0,2,4,0.2,0.4,True,True,True,True,False,False
abc363e,66879782,Qwen2.5-Coder-7B-Instruct,5833173,40960,0.007021907287851741,prefix_40960,True,5833173,40960,0.007021907287851741,prefix_40960,True,0,0,0,0.0,0.0,True,False,False,True,False,False
abc363e,66867492,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,66698060,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,66451108,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc363e,66451062,Qwen2.5-Coder-7B-Instruct,5885,5885,1.0,full,False,17,17,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,False,False
abc364d,67175419,Qwen2.5-Coder-7B-Instruct,682693,20480,0.02999884281807489,prefix_20480,True,224017,10254,0.045775543820335066,not_source_prefix,True,1,0,0,0.0,-0.1,True,True,True,True,True,True
abc364d,66949397,Qwen2.5-Coder-7B-Instruct,682693,20480,0.02999884281807489,prefix_20480,True,29,29,1.0,full,False,2,0,0,0.0,-0.2,True,True,True,True,True,True
abc364d,66687736,Qwen2.5-Coder-7B-Instruct,682693,20480,0.02999884281807489,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,66684832,Qwen2.5-Coder-7B-Instruct,682693,20480,0.02999884281807489,prefix_20480,True,29,29,1.0,full,False,0,0,3,0.3,0.3,True,True,True,True,True,True
abc364d,66684578,Qwen2.5-Coder-7B-Instruct,682693,20480,0.02999884281807489,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,65154558,Qwen2.5-Coder-7B-Instruct,2688994,20480,0.007616231200218372,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,65154456,Qwen2.5-Coder-7B-Instruct,2688994,20480,0.007616231200218372,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,65154395,Qwen2.5-Coder-7B-Instruct,2688994,20480,0.007616231200218372,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,65154375,Qwen2.5-Coder-7B-Instruct,2688994,20480,0.007616231200218372,prefix_20480,True,29,29,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc364d,65154236,Qwen2.5-Coder-7B-Instruct,2688994,20480,0.007616231200218372,prefix_20480,True,29,29,1.0,full,False,0,0,1,0.1,0.1,True,True,True,True,True,True
abc365d,67035548,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,7,7,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67113943,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67113921,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67228375,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,8,8,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67225698,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,4,4,1.0,full,False,0,0,0,0.0,0.0,True,False,False,True,False,False
abc365d,66992050,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,66993696,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67035523,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67228302,Qwen2.5-Coder-7B-Instruct,200008,20480,0.10239590416383344,prefix_20480,True,6,6,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc365d,67283559,Qwen2.5-Coder-7B-Instruct,200008,40960,0.20479180832766689,prefix_40960,True,8,8,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,67028599,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,31,31,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,66889857,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,31,31,1.0,full,False,4,1,4,0.3,0.0,True,True,True,True,True,True
abc366c,66889844,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,31,31,1.0,full,False,4,2,0,-0.2,-0.4,True,True,True,True,True,True
abc366c,66875780,Qwen2.5-Coder-7B-Instruct,1088924,20480,0.01880755681755568,prefix_20480,True,31,31,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,66808962,Qwen2.5-Coder-7B-Instruct,1088924,20480,0.01880755681755568,prefix_20480,True,22,22,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,66658547,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,31,31,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,66290391,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,31,31,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc366c,66053042,Qwen2.5-Coder-7B-Instruct,1088924,40960,0.03761511363511136,prefix_40960,True,22,22,1.0,full,False,0,1,1,0.0,0.1,True,True,True,True,True,True
abc366c,65549527,Qwen2.5-Coder-7B-Instruct,1088924,20480,0.01880755681755568,prefix_20480,True,4,4,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc366c,65541312,Qwen2.5-Coder-7B-Instruct,1088924,20480,0.01880755681755568,prefix_20480,True,4,4,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,67202273,Qwen2.5-Coder-7B-Instruct,2199915,20480,0.009309450592409252,prefix_20480,True,2199910,20480,0.009309471751117092,prefix_20480,True,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,67193151,Qwen2.5-Coder-7B-Instruct,166156,20480,0.12325766147475867,prefix_20480,True,11,20480,1861.8181818181818,not_source_prefix,True,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,66154485,Qwen2.5-Coder-7B-Instruct,166156,20480,0.12325766147475867,prefix_20480,True,11,20480,1861.8181818181818,not_source_prefix,True,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,67193160,Qwen2.5-Coder-7B-Instruct,166156,20480,0.12325766147475867,prefix_20480,True,11,20480,1861.8181818181818,not_source_prefix,True,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,65761143,Qwen2.5-Coder-7B-Instruct,166156,20480,0.12325766147475867,prefix_20480,True,11,11,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,63618307,Qwen2.5-Coder-7B-Instruct,166156,40960,0.24651532294951733,prefix_40960,True,166154,40960,0.24651829026084235,prefix_40960,True,0,0,1,0.1,0.1,True,True,True,True,True,True
abc367d,66250755,Qwen2.5-Coder-7B-Instruct,399999,40960,0.10240025600064,prefix_40960,True,11,11,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,63618182,Qwen2.5-Coder-7B-Instruct,166156,40960,0.24651532294951733,prefix_40960,True,11,11,1.0,full,False,0,1,0,-0.1,0.0,True,True,True,True,True,True
abc367d,63090199,Qwen2.5-Coder-7B-Instruct,166156,40960,0.24651532294951733,prefix_40960,True,11,11,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc367d,63618273,Qwen2.5-Coder-7B-Instruct,166156,40960,0.24651532294951733,prefix_40960,True,11,11,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67191225,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,22,22,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67188516,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,22,22,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67112272,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,22,22,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67109122,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,12,12,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67109097,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,12,12,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67108987,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,22,22,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,67014332,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,21,21,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,66662246,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,12,12,1.0,full,False,0,0,1,0.1,0.1,True,True,True,True,True,True
abc368c,66662226,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,12,12,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc368c,66495377,Qwen2.5-Coder-7B-Instruct,1978074,20480,0.010353505480583638,prefix_20480,True,12,12,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66452865,Qwen2.5-Coder-7B-Instruct,1300007,20480,0.01575376132590055,prefix_20480,True,26,26,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66698094,Qwen2.5-Coder-7B-Instruct,1300007,20480,0.01575376132590055,prefix_20480,True,26,26,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66381795,Qwen2.5-Coder-7B-Instruct,1600013,20480,0.012799896000844992,prefix_20480,True,37,37,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66601916,Qwen2.5-Coder-7B-Instruct,1300007,20480,0.01575376132590055,prefix_20480,True,13,13,1.0,full,False,4,7,10,0.3,0.6,True,True,True,True,True,True
abc369d,66602018,Qwen2.5-Coder-7B-Instruct,1300007,20480,0.01575376132590055,prefix_20480,True,13,13,1.0,full,False,4,6,9,0.3,0.5,True,True,True,True,True,True
abc369d,67111720,Qwen2.5-Coder-7B-Instruct,1300007,20480,0.01575376132590055,prefix_20480,True,13,13,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66290467,Qwen2.5-Coder-7B-Instruct,1300007,40960,0.0315075226518011,prefix_40960,True,19,19,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,66291076,Qwen2.5-Coder-7B-Instruct,1300007,40960,0.0315075226518011,prefix_40960,True,37,37,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,67240077,Qwen2.5-Coder-7B-Instruct,1600013,40960,0.025599792001689985,prefix_40960,True,37,37,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc369d,67265264,Qwen2.5-Coder-7B-Instruct,1300007,40960,0.0315075226518011,prefix_40960,True,13,13,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc370d,67044691,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,14,14,1.0,full,False,1,0,1,0.1,0.0,True,True,True,True,True,True
abc370d,66200722,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,26,26,1.0,full,False,0,0,0,0.0,0.0,True,True,True,True,True,True
abc370d,65578854,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,14,14,1.0,full,False,0,0,1,0.1,0.1,True,True,True,True,True,True
abc370d,65527153,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,14,14,1.0,full,False,0,1,1,0.0,0.1,True,True,True,True,True,True
abc370d,65496614,Qwen2.5-Coder-7B-Instruct,1567915,20480,0.013061932566497547,prefix_20480,True,10,10,1.0,full,False,0,0,0,0.0,0.0,True,False,False,True,True,True
abc370d,65350419,Qwen2.5-Coder-7B-Instruct,1567915,40960,0.026123865132995094,prefix_40960,True,1567915,40960,0.026123865132995094,prefix_40960,True,0,4,2,-0.2,0.2,True,True,True,True,True,True
