2275 116617
2 469 1
2 1572 7
1 629 1761
2 1493 2
2 817 5
1 363 1177
1 1044 1865
2 1253 7
1 124 423
2 1307 9
1 567 829
2 328 7
1 110 1727
2 1371 3
2 1565 6
2 952 2
2 547 5
1 647 721
2 890 10
2 501 10
2 840 1
2 1878 7
2 1463 5
2 2249 9
2 1828 8
2 374 9
1 903 1178
2 2108 10
2 1757 7
2 574 1
2 1666 9
2 1466 8
1 312 1330
2 608 10
2 2006 4
2 1304 4
2 500 2
2 30 6
2 1276 1
2 209 8
2 1267 3
2 322 2
2 1558 3
1 143 672
1 1561 2143
1 1982 2008
2 580 7
2 1702 3
2 697 2
1 449 1036
1 502 1484
1 231 1990
2 1531 1
1 622 1630
1 1655 2269
2 977 10
1 658 1449
2 1944 1
1 479 1571
1 556 1361
1 860 1408
1 1658 2109
1 2151 2166
1 169 2167
2 1914 1
1 566 1369
2 839 5
2 740 5
2 1163 9
1 549 567
2 333 10
2 149 10
1 1421 1503
1 3 105
2 117 3
1 598 1523
2 1107 3
2 1809 10
1 62 1596
1 85 784
2 1279 6
1 7 1628
1 576 1518
2 1708 9
1 1151 1525
1 101 1354
2 1333 4
2 1681 9
1 1298 1626
1 1379 2144
2 55 1
2 1802 3
2 468 3
1 1346 1564
1 150 1451
2 287 2
1 1322 1831
1 1637 1962
2 661 10
2 1970 2
1 1012 1537
1 1635 1874
1 685 768
1 731 1130
2 426 1
1 896 1842
1 1198 1746
2 911 3
1 455 1534
2 485 3
1 2104 2273
2 1708 8
2 1278 10
2 888 8
2 1155 7
1 391 1680
2 1175 9
1 479 1080
2 1818 5
1 1331 2152
2 259 6
1 881 1105
1 1307 2171
1 1625 2067
1 28 1187
1 1307 2135
2 2258 4
1 249 1634
2 1407 8
1 573 1784
2 165 6
2 1643 1
1 610 1116
2 230 8
2 639 9
2 155 1
1 1376 1629
2 1867 3
1 838 1178
1 1289 1364
1 581 1247
1 2 1403
2 1051 4
2 1300 7
2 2204 9
1 49 1390
1 857 1950
1 1765 1932
2 1246 6
1 229 1706
1 286 1536
2 2029 8
2 839 7
2 1257 3
1 703 2028
2 872 7
1 861 1814
2 256 1
1 185 633
1 1138 1392
1 132 1848
2 888 5
2 209 3
1 223 312
1 458 1593
1 249 2174
1 626 1502
1 1763 2169
2 863 3
2 941 9
1 1473 1980
2 346 3
1 1590 1995
1 1310 1770
2 1115 4
1 97 1171
2 26 9
1 634 1510
2 1076 9
1 62 1832
2 1432 9
1 1600 1723
2 1256 2
2 1196 6
1 1584 1717
2 781 5
2 1190 2
2 1371 1
2 1458 9
2 882 10
1 277 989
2 96 9
2 1256 7
2 1250 4
1 55 2271
1 1482 2167
1 86 638
2 165 5
2 2246 10
1 1735 1877
2 449 8
2 50 5
1 194 580
2 1317 5
1 990 1475
1 2112 2156
1 940 1336
2 295 4
2 510 2
1 154 1568
2 1083 2
1 1333 1360
1 631 1507
2 2070 2
2 1735 1
1 351 1474
1 1145 2030
1 1309 1887
2 1144 8
1 922 1785
1 255 1755
2 594 8
2 800 3
1 667 2199
2 338 2
2 948 4
2 1577 8
2 1843 10
1 606 2094
1 768 1259
2 1302 3
2 1933 6
1 350 2242
1 312 746
1 640 1855
2 415 2
1 242 2118
2 2195 8
2 1180 6
1 612 2046
2 1809 4
2 703 3
1 786 1529
2 483 10
2 1937 2
1 19 391
1 229 1105
2 1985 3
1 381 1978
2 1956 10
2 1961 3
1 1025 1865
1 406 848
1 1347 1505
2 1891 8
2 23 4
2 406 1
2 1738 9
2 1490 2
2 574 4
2 977 1
2 394 4
2 2235 5
2 1519 6
2 578 9
2 1026 4
2 2171 5
1 678 817
2 1381 7
1 396 550
1 97 1263
1 387 2181
1 137 1340
2 1406 2
2 2219 3
2 1326 3
1 224 936
2 605 10
2 1276 1
1 563 2225
2 139 6
2 1041 5
1 81 677
2 779 9
1 1015 1591
1 940 1755
2 427 7
2 1890 5
1 265 395
2 334 5
1 502 894
1 891 1014
1 373 885
2 1956 4
1 387 1264
2 2062 9
1 1130 1352
1 1708 1975
1 1106 2259
1 778 1914
1 261 1312
2 542 3
2 2016 6
2 774 5
1 25 1052
2 1739 7
1 724 1205
1 272 468
1 292 1907
1 33 1397
1 495 508
2 2239 9
1 893 1471
1 1489 1540
1 657 1931
1 1021 1072
2 1024 1
2 1597 6
1 713 1837
2 925 2
2 1727 9
2 1878 2
2 1040 3
1 475 1436
2 1427 6
2 185 7
1 2160 2249
2 149 8
1 131 972
1 1230 1421
2 1382 2
1 1507 1705
1 104 1520
2 651 10
2 1312 10
2 860 9
1 1209 1226
1 945 2157
2 717 5
2 369 3
2 1931 2
1 993 1758
1 271 1002
2 2073 7
1 228 1069
2 984 3
1 521 659
1 163 972
1 736 1887
1 1180 1873
2 927 4
2 308 3
2 125 3
1 1808 1941
2 1752 2
1 464 2225
1 1105 1456
1 751 1689
2 1909 9
2 60 4
2 1659 8
1 1237 1291
1 1492 1946
1 1180 1913
1 604 2071
1 1982 2251
1 1293 1812
1 1549 2000
1 862 1020
1 922 2239
2 138 3
2 969 9
1 492 1913
1 644 1069
2 1277 6
1 935 1705
1 1750 1809
2 836 10
2 1306 6
1 77 1371
1 571 1066
1 316 2215
1 129 238
1 512 819
2 1285 4
1 1321 2126
1 54 1198
2 330 2
1 93 902
2 2114 9
1 1798 1861
1 98 267
1 590 1097
1 59 667
1 1235 1966
1 963 2074
1 645 1055
2 2215 8
1 1486 2123
1 901 2206
1 1223 1778
2 457 4
1 501 677
1 944 2068
2 807 4
2 1174 10
2 1454 2
1 535 574
2 1670 5
1 419 1639
1 588 1588
1 300 555
2 192 5
1 1277 2167
2 1472 5
1 1735 1988
1 1493 2168
1 647 1595
1 67 1360
2 1384 3
1 1769 2122
2 1588 6
2 2200 9
1 463 2087
1 135 2187
1 325 1244
2 1688 3
1 1654 1788
1 172 1619
2 2076 6
1 277 1168
2 472 2
2 213 1
2 20 4
1 1533 2152
2 1517 3
2 2126 7
2 1314 2
1 95 819
2 1066 9
2 1936 1
1 1000 1817
1 739 1139
1 393 1530
1 315 1417
1 194 2175
2 990 7
1 1881 1972
2 580 1
2 1490 4
1 1389 2052
1 1117 1702
2 71 4
2 1246 6
2 768 10
1 976 1592
2 1034 9
1 521 1080
2 1806 5
2 648 9
1 908 1828
2 605 9
1 824 1164
2 1479 8
1 387 1449
2 956 6
1 780 1055
1 73 418
2 1509 3
2 60 6
1 598 1541
2 2095 5
2 406 1
1 275 2114
1 341 622
1 237 2213
1 1272 2229
2 672 1
2 610 8
1 401 415
2 1983 4
2 3 6
2 1561 5
2 1018 10
1 214 1555
1 20 1402
2 1482 4
1 1467 2228
1 1547 2270
1 1305 1766
1 856 1891
2 308 3
1 1001 1254
1 714 1004
1 1390 1547
2 2232 3
2 1046 3
1 359 815
1 455 994
1 1392 1994
2 915 1
2 667 7
2 2062 3
1 217 1329
2 2174 10
2 1712 6
2 2232 9
2 311 1
1 676 1645
1 782 1014
1 135 623
1 62 1288
2 2045 9
1 923 1823
2 394 8
2 690 9
1 2220 2237
1 445 688
2 1934 6
2 391 9
2 347 4
2 1366 5
1 489 2133
1 202 1195
1 378 2228
1 735 1464
2 2044 10
1 1722 2136
1 993 1316
1 1601 1967
2 796 6
1 391 1084
1 261 2246
2 2130 1
2 367 3
1 904 1772
2 1436 5
1 242 2071
2 1312 3
1 1442 2159
2 897 1
2 175 10
2 1180 7
2 579 3
1 228 1789
1 1893 1960
2 960 1
1 1262 1950
1 2 1546
2 343 2
1 119 1531
1 907 1083
2 2005 2
1 1217 1468
1 795 839
2 937 4
1 1297 2215
1 1548 2056
1 1321 1658
2 746 7
2 1842 4
1 276 1614
1 170 1986
1 191 714
2 2135 10
2 745 3
1 1237 2101
2 116 4
1 37 697
2 2079 3
2 1654 2
1 1325 1423
2 1667 4
1 1189 1535
1 1496 1892
2 958 4
2 844 10
2 151 1
1 1730 2223
2 1376 5
2 2255 6
2 2060 10
1 352 1586
2 1499 3
2 718 6
1 947 1445
2 572 9
2 118 8
2 103 8
2 1281 8
1 845 2149
2 255 3
2 2071 9
2 802 5
2 1011 4
2 606 3
2 1810 8
2 435 1
2 1462 6
2 2195 5
2 1618 5
2 1478 8
2 368 4
1 1554 1797
2 1720 9
1 1382 2068
2 932 6
1 1033 1280
2 1202 7
2 2062 6
2 2000 10
2 1663 7
2 1620 10
2 760 9
1 1345 1964
1 810 2144
1 385 1498
2 1705 9
2 1403 5
2 414 8
2 2138 3
2 170 7
2 2127 10
1 640 817
1 563 1850
1 1286 2122
2 2237 9
2 1991 6
2 1424 7
2 2 2
2 2000 1
2 1351 5
1 1064 1357
2 158 4
2 464 4
2 1217 7
1 795 1644
2 84 4
2 689 1
1 611 1381
2 1564 6
1 1330 1501
2 1983 4
1 297 1855
1 480 1120
1 423 1372
2 1608 5
1 443 1937
1 308 661
2 880 2
2 1720 1
2 1503 1
2 241 9
2 1071 8
2 1410 2
1 96 637
1 925 1136
2 1207 10
1 568 1627
2 1604 4
2 402 2
1 1806 1905
2 1649 10
1 348 406
1 1328 1929
2 728 1
2 739 8
1 502 2000
1 190 1961
1 157 1646
1 1486 1916
2 967 7
2 1153 3
2 1369 7
1 134 1356
2 2139 9
1 721 2111
1 366 2236
2 1449 6
2 418 9
2 1786 9
2 1077 7
1 840 2111
2 2238 2
1 994 1381
1 1715 1888
2 357 7
1 954 1599
2 1775 1
1 1259 2014
1 100 329
1 258 1164
1 299 445
2 1308 4
1 1533 2267
2 2187 8
2 1367 3
1 741 2161
2 1944 1
1 192 1323
2 2271 8
1 140 1277
1 422 494
1 131 378
1 183 723
1 945 1668
1 783 2200
2 942 3
1 697 2061
2 1358 7
1 486 868
